Fx_L,Fy_L,Fz_L,Fx_R,Fy_R,Fz_R,load_mag,ok_blind,tfall_blind,ok_clipped,tfall_clipped
4.208141,-3.4162443,-5.530724,2.6398559,3.3411531,-1.3893763,12.223026,1,6.0,1,6.0
-3.6909525,5.4364114,-3.4434092,1.0334717,-4.54001,-5.133974,14.349447,1,6.0,1,6.0
11.515788,-14.036214,-14.408808,4.668231,20.704447,-5.593686,45.127426,1,6.0,1,6.0
-20.839201,8.580119,-2.8890755,-13.626377,-16.469906,-7.311298,45.312695,0,1.6280000000000001,1,6.0
8.781714,-2.5653224,-23.672348,12.785151,-1.6814862,-8.401326,40.769295,1,6.0,1,6.0
-3.4718797,0.83918124,-2.012019,-0.4792423,-0.3802236,-0.20885853,4.745985,1,6.0,1,6.0
13.459939,17.752493,-2.5837173,-3.923045,-5.2896757,-1.1175464,29.107393,1,6.0,1,6.0
-9.113294,8.467991,-6.6258616,2.871821,4.3937526,-3.3734362,20.334307,1,6.0,1,6.0
-1.3555659,9.552168,-1.580674,-6.3495736,-23.525877,-11.082561,36.54602,1,6.0,1,6.0
-15.909586,-2.1808448,-15.080108,2.8198056,-13.237728,-2.5075107,35.79413,1,6.0,1,6.0
-10.144267,21.11438,-9.701389,-9.7514515,-9.62233,-18.503836,48.377586,1,6.0,1,6.0
8.321334,4.747011,-1.3431793,3.5489926,22.232756,-15.239618,36.860893,1,6.0,1,6.0
2.1881237,-3.0371544,-2.7491388,4.0074778,3.2218864,-10.614637,16.438877,1,6.0,1,6.0
-2.0435674,-17.406296,-24.04037,-1.4144976,24.713438,-12.468013,57.46707,1,6.0,1,6.0
12.227042,8.880395,-23.066366,-6.4562244,-3.4055629,-19.062706,47.988132,1,6.0,1,6.0
5.3313785,6.331724,-2.663227,1.8075404,-15.7118225,-8.896146,26.841034,1,6.0,1,6.0
4.540167,23.994972,-0.7561947,12.857455,-0.23626032,-4.175199,37.95287,1,6.0,1,6.0
0.8176725,1.1550844,-2.2885756,-0.47898826,12.40035,-4.6816883,15.954142,1,6.0,1,6.0
-3.074123,-10.58299,-25.06025,-4.096056,8.801877,-0.4689139,37.095974,1,6.0,1,6.0
-14.045464,18.467001,-1.3312778,4.6509852,-3.688451,-5.8967886,31.606672,1,6.0,1,6.0
1.8881291,-3.1127872,-4.65028,8.593209,-8.239306,-8.3725195,20.460222,1,6.0,1,6.0
-4.9348955,5.393701,-5.024206,5.3765917,-6.9589353,-8.49905,21.100431,1,6.0,1,6.0
6.756949,-16.324074,-2.6618192,1.9778162,-7.111741,-2.7277558,25.73616,1,6.0,1,6.0
-1.2476287,-1.4454526,-10.500536,-0.4526519,-1.6654239,-1.3832744,12.884512,1,6.0,1,6.0
-10.811734,-2.3957844,-19.110281,16.296698,7.1575503,-23.145517,51.285095,1,6.0,1,6.0
1.9511769,17.004658,-4.7790046,4.42175,12.687541,-10.709511,34.952827,1,6.0,1,6.0
-0.39883706,-6.1547456,-0.7313085,0.29827654,9.625028,-2.9759576,16.28987,1,6.0,1,6.0
5.243469,16.904203,-4.665212,17.724031,-4.3614173,-17.387993,43.51252,1,6.0,1,6.0
0.028884321,-0.21643968,-0.36084852,12.674812,7.246848,-0.5711587,15.033203,1,6.0,1,6.0
-1.5227491,-0.73669934,-2.894361,-6.42778,-24.141697,-2.1535656,28.427834,1,6.0,1,6.0
0.01331688,-4.760164,-0.85429907,-3.5152555,-0.6700779,-3.409869,9.779233,1,6.0,1,6.0
1.7151349,-5.330799,-9.012216,1.429862,1.2537423,-3.9322197,14.978252,1,6.0,1,6.0
-0.3351011,-0.03789503,-0.11802076,5.11584,-3.275904,-3.5930264,7.415139,1,6.0,1,6.0
-19.696995,5.316378,-19.026815,24.814985,-7.0701733,-0.47042397,53.70405,1,6.0,1,6.0
1.7197773,-6.4070597,-2.7604423,16.353859,16.076962,-0.5120439,30.123873,1,6.0,1,6.0
7.890958,1.9103663,-0.06313094,1.2624298,-8.531803,-4.739654,17.960382,1,6.0,1,6.0
4.50793,7.3672566,-7.2386837,-20.969145,-0.3249444,-18.561491,39.275333,1,6.0,1,6.0
-12.948108,6.3721104,-24.253517,1.7497482,25.192562,-5.3349423,54.032784,1,6.0,1,6.0
-0.8670588,8.432507,-6.2881,10.171515,0.060176145,-5.6641407,22.196995,1,6.0,1,6.0
7.810298,7.6184793,-6.9459343,13.981052,-11.240471,-1.4240168,30.929703,1,6.0,1,6.0
-1.49222,3.6261632,-8.051096,-29.280802,2.3282356,-3.1812022,38.5002,0,1.822,1,6.0
-20.222206,-6.4784718,-20.170294,11.82339,15.383292,-8.516689,50.47632,1,6.0,1,6.0
-2.9166598,10.419502,-1.6540183,4.1982746,4.1109166,-0.81612253,16.877934,1,6.0,1,6.0
-0.16248214,2.2956684,-0.9920471,3.3561735,-17.40606,-2.878802,20.465029,1,6.0,1,6.0
3.8762174,-3.4758139,-19.040493,-0.07811592,-25.905325,-6.618435,46.477005,1,6.0,1,6.0
9.774697,-2.4491642,-18.990189,7.5300965,-9.742905,-10.169003,37.467968,1,6.0,1,6.0
1.9873819,-6.094755,-9.143922,12.198224,-5.867593,-3.6565766,25.188496,1,6.0,1,6.0
-1.3187704,1.3297287,-6.058711,7.063952,-12.183359,-17.370012,28.703375,1,6.0,1,6.0
2.3210576,6.623493,-10.073733,-6.696536,-6.3002505,-10.050064,25.898869,1,6.0,1,6.0
-0.34058052,1.8774908,-13.033106,8.050201,13.505017,-10.657976,32.16635,1,6.0,1,6.0
3.62437,25.109968,-15.745254,0.05618464,-0.19052593,-0.07058084,30.0698,1,6.0,1,6.0
6.7553167,7.829349,-23.58574,2.2018523,-0.19065513,-22.777357,48.63739,1,6.0,1,6.0
1.686498,-3.0779026,-18.293642,12.062594,19.994219,-16.909897,47.458145,1,6.0,1,6.0
