Fx_L,Fy_L,Fz_L,Fx_R,Fy_R,Fz_R,load_mag,cond,rmse,max,ss,rmse_L,rmse_R,base_rmse,base_tilt_max,fell
-1.7697893,9.695513,-2.6651795,12.846102,-9.150198,-20.799171,36.312473,no-FAME,0.07608044316147006,0.1124374694604384,0.07714756221676332,0.0625272648982808,0.08963362142465932,0.025105936376515543,3.408335923912288,0
-1.7697893,9.695513,-2.6651795,12.846102,-9.150198,-20.799171,36.312473,FAME,0.07963028337135869,0.12686146988211913,0.07872191625939991,0.09819856282491081,0.06106200391780657,0.023979252454440502,3.129100708175537,0
-5.181169,1.7596323,-7.266151,4.137343,5.76659,-6.57522,18.77098,no-FAME,0.07597106703514458,0.11831828394570132,0.07735832317828764,0.08167298130021944,0.07026915277006975,0.008046248388451428,3.8838831779443668,0
-5.181169,1.7596323,-7.266151,4.137343,5.76659,-6.57522,18.77098,FAME,0.07367473025597338,0.11998865359796279,0.07527113523725486,0.0789138787397773,0.06843558177216946,0.03409521448944948,4.3178495509701404,0
1.790492,-6.5113187,-14.914909,-5.035511,-11.787641,-6.790612,30.878233,no-FAME,0.06558605261374387,0.10747524397094754,0.06019335459999446,0.07983047404159069,0.05134163118589703,0.04371799476967051,3.872881542810667,0
1.790492,-6.5113187,-14.914909,-5.035511,-11.787641,-6.790612,30.878233,FAME,0.0853100345018295,0.1237679773880741,0.07628059203957949,0.09825437317226973,0.07236569583138928,0.025874256992242176,3.4869106315594505,0
-14.400529,5.1650333,-10.169236,2.4764125,1.9754583,-0.5268987,21.581589,no-FAME,0.08399933639354276,0.13086686906772468,0.08695024381626265,0.11031188171336075,0.057686791073724764,0.022409655874232846,5.296166531128479,0
-14.400529,5.1650333,-10.169236,2.4764125,1.9754583,-0.5268987,21.581589,FAME,0.08385097555056198,0.1320281879773589,0.08513646843049386,0.08101699584700477,0.08668495525411919,0.03119358636071981,4.805280989486623,0
-2.15951,-14.121593,-11.475381,-4.6936536,16.128109,-2.6202176,35.324303,no-FAME,0.07118868157610787,0.11492825937259175,0.07270182370987391,0.08740506274084194,0.05497230041137382,0.01939536394481514,4.029643899597949,0
-2.15951,-14.121593,-11.475381,-4.6936536,16.128109,-2.6202176,35.324303,FAME,0.08040017935780296,0.12074507485471522,0.08207166876872302,0.08438967066635614,0.07641068804924978,0.014600090740280004,4.160549170102825,0
-9.238813,-5.145216,-4.481018,-1.995053,1.94328,-0.7327222,14.364976,no-FAME,0.07253698125054443,0.12148640223550858,0.07356195284521805,0.09749385820714974,0.04758010429393912,0.02932253525107465,5.515511497918133,0
-9.238813,-5.145216,-4.481018,-1.995053,1.94328,-0.7327222,14.364976,FAME,0.07364068270711846,0.12448689429957734,0.07482293854014127,0.07699020096504602,0.07029116444919091,0.018495825196007152,4.507967387531443,0
-16.210604,2.783507,-4.190292,-4.208794,-0.5238373,-0.24030076,21.221287,no-FAME,0.08949482727270806,0.14728489749819237,0.09292148273565337,0.12754084321600465,0.05144881132941149,0.03829252289322938,7.447058485745794,0
-16.210604,2.783507,-4.190292,-4.208794,-0.5238373,-0.24030076,21.221287,FAME,0.09115872513823328,0.13475997321637637,0.09313192904737559,0.08805600827085569,0.09426144200561086,0.024377261229560458,4.770811802771355,0
13.358967,-9.254182,-24.707603,14.245956,4.5040073,-18.819345,53.60226,no-FAME,1.3052521268762676,1.8826928358882942,1.7157473786946245,1.2484511594382182,1.362053094314317,1.026293625861503,150.71106570894617,1
13.358967,-9.254182,-24.707603,14.245956,4.5040073,-18.819345,53.60226,FAME,0.0874476272563845,0.1564722009367992,0.08295511710320827,0.10964031899515758,0.0652549355176114,0.027289833596444033,5.748639182056513,0
5.0821843,-5.552191,-10.40332,-2.0416133,5.19932,-4.7267213,20.158045,no-FAME,0.06272232739231175,0.10585243138962774,0.06243192953142005,0.06298629508543549,0.06245835969918801,0.02013823492116722,3.991158165097877,0
