load,cond,rmse,max,ss,base_rmse,base_tilt_max,max_payload_N,fell
1.0137336,FAME,0.264916745741922,0.47468676619080874,0.2574243878595069,0.032085576546914206,5.66791681535728,85.15028286144107,0
1.174857,no-FAME,0.26374179692461175,0.4589939918495109,0.25366025320822955,0.02204091835503038,3.885000665176005,70.63453469531052,0
1.174857,FAME,0.26434349640536786,0.47630694514330063,0.25791963018522235,0.03255091654339242,5.481569772822046,93.98745475281594,0
2.670823,no-FAME,0.2664141927743841,0.4676747742444356,0.2576152875750939,0.02075412461359687,3.7760945758940436,200.38820498998555,0
2.670823,FAME,0.2613061013131087,0.47755427602509515,0.2588088201601905,0.035268697211027766,4.924001424904259,197.66906964813973,0
0.6814728,no-FAME,0.2638397365563465,0.45926785201184994,0.25348887199452186,0.0240378474790979,4.044283006007063,40.872540447012234,0
0.6814728,FAME,0.2645500578307673,0.46863145415414337,0.2552983927303838,0.03010527385808664,5.6313470601909925,56.59125136502296,0
1.8695614,no-FAME,0.2650093952934688,0.46260722508687613,0.2559181486273364,0.01975792638672562,3.8204608272192164,123.51990852772936,0
1.8695614,FAME,0.2672253534099447,0.49044158383678915,0.2635010519660041,0.032503336063934636,3.7831360301367867,145.02374415654407,0
0.25204602,no-FAME,0.26332493487673003,0.45849124753206627,0.2530421981350696,0.027129670193927584,4.154352262431344,19.451801523317197,0
0.25204602,FAME,0.26327105001810014,0.460453839235322,0.25390352358244,0.029419848548255124,4.812858964507838,21.356810373739737,0
2.4979324,no-FAME,0.26628701029991675,0.4663096280579933,0.2577115645127244,0.020564902067148973,3.782485827570756,207.84609690826528,0
2.4979324,FAME,0.2603611769728781,0.48182982743360553,0.26016915013895414,0.035377160977872406,5.155310795131999,205.6085022653682,0
2.361295,no-FAME,0.2659209043341518,0.46535694479458334,0.25720836825531485,0.019568855861580022,3.9341114721483503,207.84609690826528,0
2.361295,FAME,0.2652612072670421,0.4891160689970772,0.2680132535100771,0.031274446234335174,4.249663975579971,203.70350109606213,0
0.71810836,no-FAME,0.2640216291119187,0.45942747327725103,0.2540719948484177,0.023786196116972098,4.0434186831370305,43.65838234223183,0
0.71810836,FAME,0.26491183659350154,0.4684380479626923,0.25550687500056135,0.029617010618029162,5.556044929244673,57.67459555008759,0
2.6294527,no-FAME,0.2664090775689274,0.46739352811292495,0.25770387297075753,0.020693601055301478,3.7775694729649283,207.84609690826528,0
2.6294527,FAME,0.26354606874601105,0.48291110385370095,0.2632760773068053,0.03372905587858816,4.073556237734089,198.7927949491686,0
0.1757041,no-FAME,0.2633142135485523,0.4585103042369291,0.25304096919276003,0.02769792847737156,4.290109713918816,12.266384927465179,0
0.1757041,FAME,0.26296839513886977,0.4594262144898869,0.2530864545067357,0.029833574058022828,4.738521061734773,14.784098740106788,0
1.0083512,no-FAME,0.26363132634901776,0.45865807167830513,0.25330445487636466,0.023009640921852842,3.9125872659039747,61.605053266056835,0
1.0083512,FAME,0.2641331500826068,0.4697466397420994,0.2547982670848028,0.03245407408570067,5.527224494155434,82.69523022800433,0
0.4508384,no-FAME,0.26344750577715575,0.4584945336353997,0.2530627141829888,0.026137349596035805,4.065206007135538,31.733831435881115,0
